set_id,quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
Set_01,1,beginner,beginner01,albania,Albania,Set_01_001_(albania).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_001_(albania).png,Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania,A
Set_01,2,intermediate,intermediate01,afghanistan,Afghanistan,Set_01_002_(afghanistan).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_002_(afghanistan).png,Which country does this flag belong to?,Afghanistan,Slovakia,Switzerland,New Caledonia,Afghanistan,A
Set_01,3,high,high01,andorra,Andorra,Set_01_003_(andorra).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_01_003_(andorra).png,Which country does this flag belong to?,Andorra,"Tanzania, United Republic of",Mauritius,Germany,Andorra,A
Set_02,4,beginner,beginner02,algeria,Algeria,Set_02_004_(algeria).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_004_(algeria).png,Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria,D
Set_02,5,intermediate,intermediate02,american_samoa,American Samoa,Set_02_005_(american_samoa).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_005_(american_samoa).png,Which country does this flag belong to?,Saint Lucia,American Samoa,Saint Barthélemy,Western Sahara,American Samoa,B
Set_02,6,high,high02,antarctica,Antarctica,Set_02_006_(antarctica).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_02_006_(antarctica).png,Which country does this flag belong to?,Zimbabwe,Lebanon,Antarctica,Saint Vincent and the Grenadines,Antarctica,C
Set_03,7,beginner,beginner03,argentina,Argentina,Set_03_007_(argentina).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_007_(argentina).png,Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina,D
Set_03,8,intermediate,intermediate03,angola,Angola,Set_03_008_(angola).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_008_(angola).png,Which country does this flag belong to?,Thailand,Turks and Caicos Islands,Samoa,Angola,Angola,D
Set_03,9,high,high03,antigua_and_barbuda,Antigua and Barbuda,Set_03_009_(antigua_and_barbuda).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_03_009_(antigua_and_barbuda).png,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Cambodia,Comoros,Antigua and Barbuda,Antigua and Barbuda,D
Set_04,10,beginner,beginner04,australia,Australia,Set_04_010_(australia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_010_(australia).png,Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia,C
Set_04,11,intermediate,intermediate04,anguilla,Anguilla,Set_04_011_(anguilla).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_011_(anguilla).png,Which country does this flag belong to?,Russian Federation,Panama,Ghana,Anguilla,Anguilla,D
Set_04,12,high,high04,aruba,Aruba,Set_04_012_(aruba).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_04_012_(aruba).png,Which country does this flag belong to?,Aruba,Belize,Panama,Guinea,Aruba,A
Set_05,13,beginner,beginner05,austria,Austria,Set_05_013_(austria).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_013_(austria).png,Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria,B
Set_05,14,intermediate,intermediate05,armenia,Armenia,Set_05_014_(armenia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_014_(armenia).png,Which country does this flag belong to?,Rwanda,Saint Martin,Armenia,Nigeria,Armenia,C
Set_05,15,high,high05,bahamas,Bahamas,Set_05_015_(bahamas).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_05_015_(bahamas).png,Which country does this flag belong to?,Vietnam,Republic of the Congo,Bahamas,Pitcairn,Bahamas,C
Set_06,16,beginner,beginner06,bangladesh,Bangladesh,Set_06_016_(bangladesh).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_016_(bangladesh).png,Which country does this flag belong to?,Tuvalu,Bangladesh,Albania,Republic of Türkiye,Bangladesh,B
Set_06,17,intermediate,intermediate06,azerbaijan,Azerbaijan,Set_06_017_(azerbaijan).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_017_(azerbaijan).png,Which country does this flag belong to?,French Guiana,Cayman Islands,Sao Tome and Principe,Azerbaijan,Azerbaijan,D
Set_06,18,high,high06,barbados,Barbados,Set_06_018_(barbados).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_06_018_(barbados).png,Which country does this flag belong to?,Cyprus,Barbados,Rwanda,Uruguay,Barbados,B
Set_07,19,beginner,beginner07,belgium,Belgium,Set_07_019_(belgium).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_019_(belgium).png,Which country does this flag belong to?,Belgium,El Salvador,Pakistan,England,Belgium,A
Set_07,20,intermediate,intermediate07,bahrain,Bahrain,Set_07_020_(bahrain).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_020_(bahrain).png,Which country does this flag belong to?,Bahrain,French Guiana,Saint Lucia,Brazil,Bahrain,A
Set_07,21,high,high07,benin,Benin,Set_07_021_(benin).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_07_021_(benin).png,Which country does this flag belong to?,Mexico,Benin,Pakistan,Grenada,Benin,B
Set_08,22,beginner,beginner08,bolivia_plurinational,"Bolivia, Plurinational State of",Set_08_022_(bolivia_plurinational).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_022_(bolivia_plurinational).png,Which country does this flag belong to?,Mexico,Maldives,Thailand,"Bolivia, Plurinational State of","Bolivia, Plurinational State of",D
Set_08,23,intermediate,intermediate08,belarus,Belarus,Set_08_023_(belarus).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_023_(belarus).png,Which country does this flag belong to?,Azerbaijan,Tokelau,Belarus,Colombia,Belarus,C
Set_08,24,high,high08,bermuda,Bermuda,Set_08_024_(bermuda).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_08_024_(bermuda).png,Which country does this flag belong to?,Bermuda,Peru,Isle of Man,Moldova,Bermuda,A
Set_09,25,beginner,beginner09,bosnia_and_herzegovina,Bosnia and Herzegovina,Set_09_025_(bosnia_and_herzegovina).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_025_(bosnia_and_herzegovina).png,Which country does this flag belong to?,Latvia,Kyrgyzstan,Uganda,Bosnia and Herzegovina,Bosnia and Herzegovina,D
Set_09,26,intermediate,intermediate09,belize,Belize,Set_09_026_(belize).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_026_(belize).png,Which country does this flag belong to?,Moldova,Belize,"Venezuela, Bolivarian Republic of",Tuvalu,Belize,B
Set_09,27,high,high09,bouvet_island,Bouvet Island,Set_09_027_(bouvet_island).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_09_027_(bouvet_island).png,Which country does this flag belong to?,Saint Kitts and Nevis,Malta,Czech Republic,Bouvet Island,Bouvet Island,D
Set_10,28,beginner,beginner10,brazil,Brazil,Set_10_028_(brazil).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_028_(brazil).png,Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil,D
Set_10,29,intermediate,intermediate10,bhutan,Bhutan,Set_10_029_(bhutan).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_029_(bhutan).png,Which country does this flag belong to?,Dominica,Saint Pierre and Miquelon,Bhutan,Saint Lucia,Bhutan,C
Set_10,30,high,high10,british_indian_ocean_territory,British Indian Ocean Territory,Set_10_030_(british_indian_ocean_territory).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_10_030_(british_indian_ocean_territory).png,Which country does this flag belong to?,Turkmenistan,Afghanistan,British Indian Ocean Territory,Andorra,British Indian Ocean Territory,C
Set_11,31,beginner,beginner11,cameroon,Cameroon,Set_11_031_(cameroon).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_031_(cameroon).png,Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon,A
Set_11,32,intermediate,intermediate11,botswana,Botswana,Set_11_032_(botswana).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_032_(botswana).png,Which country does this flag belong to?,Ecuador,Botswana,Guatemala,England,Botswana,B
Set_11,33,high,high11,burundi,Burundi,Set_11_033_(burundi).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_11_033_(burundi).png,Which country does this flag belong to?,Canada,Réunion,Burundi,Montenegro,Burundi,C
Set_12,34,beginner,beginner12,chile,Chile,Set_12_034_(chile).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_034_(chile).png,Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile,B
Set_12,35,intermediate,intermediate12,brunei_darussalam,Brunei Darussalam,Set_12_035_(brunei_darussalam).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_035_(brunei_darussalam).png,Which country does this flag belong to?,Northern Ireland,Brunei Darussalam,Montenegro,Jordan,Brunei Darussalam,B
Set_12,36,high,high12,cape_verde,Cape Verde,Set_12_036_(cape_verde).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_12_036_(cape_verde).png,Which country does this flag belong to?,Central African Republic,Réunion,Cape Verde,Czech Republic,Cape Verde,C
Set_13,37,beginner,beginner13,china,China,Set_13_037_(china).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_037_(china).png,Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China,A
Set_13,38,intermediate,intermediate13,bulgaria,Bulgaria,Set_13_038_(bulgaria).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_038_(bulgaria).png,Which country does this flag belong to?,Algeria,Solomon Islands,Saudi Arabia,Bulgaria,Bulgaria,D
Set_13,39,high,high13,cayman_islands,Cayman Islands,Set_13_039_(cayman_islands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_13_039_(cayman_islands).png,Which country does this flag belong to?,Cayman Islands,Nauru,Zambia,United Arab Emirates,Cayman Islands,A
Set_14,40,beginner,beginner14,colombia,Colombia,Set_14_040_(colombia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_040_(colombia).png,Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia,B
Set_14,41,intermediate,intermediate14,burkina_faso,Burkina Faso,Set_14_041_(burkina_faso).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_041_(burkina_faso).png,Which country does this flag belong to?,Burkina Faso,Ethiopia,Lithuania,Uruguay,Burkina Faso,A
Set_14,42,high,high14,christmas_island,Christmas Island,Set_14_042_(christmas_island).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_14_042_(christmas_island).png,Which country does this flag belong to?,Christmas Island,Caribbean Netherlands,Saint Martin,Saint Pierre and Miquelon,Christmas Island,A
Set_15,43,beginner,beginner15,costa_rica,Costa Rica,Set_15_043_(costa_rica).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_043_(costa_rica).png,Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica,C
Set_15,44,intermediate,intermediate15,cambodia,Cambodia,Set_15_044_(cambodia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_044_(cambodia).png,Which country does this flag belong to?,Japan,Cambodia,Cayman Islands,Åland Islands,Cambodia,B
Set_15,45,high,high15,cocos_islands,Cocos Islands,Set_15_045_(cocos_islands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_15_045_(cocos_islands).png,Which country does this flag belong to?,Cocos Islands,British Indian Ocean Territory,Benin,Aruba,Cocos Islands,A
Set_16,46,beginner,beginner16,croatia,Croatia,Set_16_046_(croatia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_046_(croatia).png,Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia,D
Set_16,47,intermediate,intermediate16,canada,Canada,Set_16_047_(canada).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_047_(canada).png,Which country does this flag belong to?,Kazakhstan,Saint Pierre and Miquelon,Canada,Thailand,Canada,C
Set_16,48,high,high16,comoros,Comoros,Set_16_048_(comoros).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_16_048_(comoros).png,Which country does this flag belong to?,Indonesia,Comoros,Mayotte,Trinidad and Tobago,Comoros,B
Set_17,49,beginner,beginner17,cuba,Cuba,Set_17_049_(cuba).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_049_(cuba).png,Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba,D
Set_17,50,intermediate,intermediate17,caribbean_netherlands,Caribbean Netherlands,Set_17_050_(caribbean_netherlands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_050_(caribbean_netherlands).png,Which country does this flag belong to?,Nauru,Moldova,South Africa,Caribbean Netherlands,Caribbean Netherlands,D
Set_17,51,high,high17,congo_the_democratic_the,"Congo, the Democratic Republic of the",Set_17_051_(congo_the_democratic_the).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_17_051_(congo_the_democratic_the).png,Which country does this flag belong to?,Caribbean Netherlands,Tokelau,"Congo, the Democratic Republic of the",Mexico,"Congo, the Democratic Republic of the",C
Set_18,52,beginner,beginner18,cyprus,Cyprus,Set_18_052_(cyprus).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_052_(cyprus).png,Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus,C
Set_18,53,intermediate,intermediate18,central_african_republic,Central African Republic,Set_18_053_(central_african_republic).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_053_(central_african_republic).png,Which country does this flag belong to?,Martinique,Central African Republic,Spain,Yemen,Central African Republic,B
Set_18,54,high,high18,cook_islands,Cook Islands,Set_18_054_(cook_islands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_18_054_(cook_islands).png,Which country does this flag belong to?,El Salvador,Marshall Islands,Saudi Arabia,Cook Islands,Cook Islands,D
Set_19,55,beginner,beginner19,denmark,Denmark,Set_19_055_(denmark).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_055_(denmark).png,Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark,C
Set_19,56,intermediate,intermediate19,chad,Chad,Set_19_056_(chad).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_056_(chad).png,Which country does this flag belong to?,Moldova,Bhutan,Chad,Sierra Leone,Chad,C
Set_19,57,high,high19,curaçao,Curaçao,Set_19_057_(curaçao).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_19_057_(curaçao).png,Which country does this flag belong to?,Cook Islands,Curaçao,Djibouti,Ethiopia,Curaçao,B
Set_20,58,beginner,beginner20,ecuador,Ecuador,Set_20_058_(ecuador).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_058_(ecuador).png,Which country does this flag belong to?,Ecuador,Åland Islands,Jamaica,Mongolia,Ecuador,A
Set_20,59,intermediate,intermediate20,czech_republic,Czech Republic,Set_20_059_(czech_republic).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_059_(czech_republic).png,Which country does this flag belong to?,Switzerland,Czech Republic,Antigua and Barbuda,Mauritius,Czech Republic,B
Set_20,60,high,high20,côte_divoire,Côte d'Ivoire,Set_20_060_(côte_divoire).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_20_060_(côte_divoire).png,Which country does this flag belong to?,Hong Kong,Côte d'Ivoire,Slovakia,French Guiana,Côte d'Ivoire,B
Set_21,61,beginner,beginner21,egypt,Egypt,Set_21_061_(egypt).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_061_(egypt).png,Which country does this flag belong to?,Egypt,Gabon,Panama,Palau,Egypt,A
Set_21,62,intermediate,intermediate21,dominica,Dominica,Set_21_062_(dominica).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_062_(dominica).png,Which country does this flag belong to?,Turkmenistan,Bahamas,Dominica,Bouvet Island,Dominica,C
Set_21,63,high,high21,djibouti,Djibouti,Set_21_063_(djibouti).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_21_063_(djibouti).png,Which country does this flag belong to?,Kenya,Djibouti,Vietnam,Equatorial Guinea,Djibouti,B
Set_22,64,beginner,beginner22,estonia,Estonia,Set_22_064_(estonia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_064_(estonia).png,Which country does this flag belong to?,Estonia,Northern Mariana Islands,Malta,Malawi,Estonia,A
Set_22,65,intermediate,intermediate22,dominican_republic,Dominican Republic,Set_22_065_(dominican_republic).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_065_(dominican_republic).png,Which country does this flag belong to?,Dominican Republic,American Samoa,Philippines,Kosovo,Dominican Republic,A
Set_22,66,high,high22,england,England,Set_22_066_(england).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_22_066_(england).png,Which country does this flag belong to?,England,Colombia,China,Saint Barthélemy,England,A
Set_23,67,beginner,beginner23,ethiopia,Ethiopia,Set_23_067_(ethiopia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_067_(ethiopia).png,Which country does this flag belong to?,Ecuador,"Congo, the Democratic Republic of the",Ethiopia,Germany,Ethiopia,C
Set_23,68,intermediate,intermediate23,el_salvador,El Salvador,Set_23_068_(el_salvador).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_068_(el_salvador).png,Which country does this flag belong to?,Nicaragua,Azerbaijan,Uruguay,El Salvador,El Salvador,D
Set_23,69,high,high23,equatorial_guinea,Equatorial Guinea,Set_23_069_(equatorial_guinea).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_23_069_(equatorial_guinea).png,Which country does this flag belong to?,Belarus,Equatorial Guinea,Caribbean Netherlands,Togo,Equatorial Guinea,B
Set_24,70,beginner,beginner24,fiji,Fiji,Set_24_070_(fiji).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_070_(fiji).png,Which country does this flag belong to?,Réunion,French Southern Territories,Fiji,Syrian Arab Republic,Fiji,C
Set_24,71,intermediate,intermediate24,french_southern_territories,French Southern Territories,Set_24_071_(french_southern_territories).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_071_(french_southern_territories).png,Which country does this flag belong to?,Burkina Faso,French Southern Territories,Costa Rica,Germany,French Southern Territories,B
Set_24,72,high,high24,eritrea,Eritrea,Set_24_072_(eritrea).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_24_072_(eritrea).png,Which country does this flag belong to?,Cayman Islands,Cyprus,Eritrea,US Minor Outlying Islands,Eritrea,C
Set_25,73,beginner,beginner25,finland,Finland,Set_25_073_(finland).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_073_(finland).png,Which country does this flag belong to?,Liberia,Turks and Caicos Islands,South Sudan,Finland,Finland,D
Set_25,74,intermediate,intermediate25,gabon,Gabon,Set_25_074_(gabon).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_074_(gabon).png,Which country does this flag belong to?,Finland,Djibouti,United States,Gabon,Gabon,D
Set_25,75,high,high25,europe,Europe,Set_25_075_(europe).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_25_075_(europe).png,Which country does this flag belong to?,Europe,Greece,Suriname,Somalia,Europe,A
Set_26,76,beginner,beginner26,france,France,Set_26_076_(france).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_076_(france).png,Which country does this flag belong to?,French Guiana,Northern Mariana Islands,Comoros,France,France,D
Set_26,77,intermediate,intermediate26,gambia,Gambia,Set_26_077_(gambia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_077_(gambia).png,Which country does this flag belong to?,Cuba,Georgia,Gambia,Austria,Gambia,C
Set_26,78,high,high26,falkland_islands,Falkland Islands,Set_26_078_(falkland_islands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_26_078_(falkland_islands).png,Which country does this flag belong to?,South Sudan,Singapore,Falkland Islands,Egypt,Falkland Islands,C
Set_27,79,beginner,beginner27,germany,Germany,Set_27_079_(germany).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_079_(germany).png,Which country does this flag belong to?,Uganda,Croatia,Germany,Pakistan,Germany,C
Set_27,80,intermediate,intermediate27,georgia,Georgia,Set_27_080_(georgia).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_080_(georgia).png,Which country does this flag belong to?,Georgia,Saint Lucia,Cape Verde,Trinidad and Tobago,Georgia,A
Set_27,81,high,high27,faroe_islands,Faroe Islands,Set_27_081_(faroe_islands).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_27_081_(faroe_islands).png,Which country does this flag belong to?,Ukraine,Pakistan,Mauritius,Faroe Islands,Faroe Islands,D
Set_28,82,beginner,beginner28,ghana,Ghana,Set_28_082_(ghana).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_082_(ghana).png,Which country does this flag belong to?,Greenland,Kazakhstan,Ghana,Falkland Islands,Ghana,C
Set_28,83,intermediate,intermediate28,guinea-bissau,Guinea-Bissau,Set_28_083_(guinea-bissau).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_083_(guinea-bissau).png,Which country does this flag belong to?,Kingdom of Eswatini,Honduras,Guinea-Bissau,Botswana,Guinea-Bissau,C
Set_28,84,high,high28,french_guiana,French Guiana,Set_28_084_(french_guiana).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_28_084_(french_guiana).png,Which country does this flag belong to?,French Guiana,Pitcairn,Virgin Islands Us,Wales,French Guiana,A
Set_29,85,beginner,beginner29,greece,Greece,Set_29_085_(greece).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_29_085_(greece).png,Which country does this flag belong to?,Dominica,Cook Islands,Bosnia and Herzegovina,Greece,Greece,D
Set_29,86,intermediate,intermediate29,guyana,Guyana,Set_29_086_(guyana).png,https://davidlikescat.github.io/003_CC_Flags/canva_upload_ready/flag_images/png/Set_29_086_(guyana).png,Which country does this flag belong to?,Guyana,Albania,Singapore,Guam,Guyana,A
