quiz_id,difficulty,difficulty_number,country_filename,country_name,flag_image_path,image_url,question_text,option_a,option_b,option_c,option_d,correct_answer,correct_option
1,beginner,beginner01,albania,Albania,beginner/begin01_albania.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin01_albania.svg,Which country does this flag belong to?,Albania,Liechtenstein,Costa Rica,Cayman Islands,Albania,A
2,beginner,beginner02,algeria,Algeria,beginner/begin02_algeria.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin02_algeria.svg,Which country does this flag belong to?,Jamaica,Paraguay,Benin,Algeria,Algeria,D
3,beginner,beginner03,argentina,Argentina,beginner/begin03_argentina.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin03_argentina.svg,Which country does this flag belong to?,Madagascar,Sierra Leone,Solomon Islands,Argentina,Argentina,D
4,beginner,beginner04,australia,Australia,beginner/begin04_australia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin04_australia.svg,Which country does this flag belong to?,"Tanzania, United Republic of",Bouvet Island,Australia,Scotland,Australia,C
5,beginner,beginner05,austria,Austria,beginner/begin05_austria.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin05_austria.svg,Which country does this flag belong to?,Antigua and Barbuda,Austria,Papua New Guinea,Azerbaijan,Austria,B
6,beginner,beginner06,bangladesh,Bangladesh,beginner/begin06_bangladesh.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin06_bangladesh.svg,Which country does this flag belong to?,Tuvalu,Bangladesh,Albania,Republic of Türkiye,Bangladesh,B
7,beginner,beginner07,belgium,Belgium,beginner/begin07_belgium.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin07_belgium.svg,Which country does this flag belong to?,Belgium,El Salvador,Pakistan,England,Belgium,A
8,beginner,beginner08,bolivia_plurinational,"Bolivia, Plurinational State of",beginner/begin08_bolivia_plurinational.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin08_bolivia_plurinational.svg,Which country does this flag belong to?,Mexico,Maldives,Thailand,"Bolivia, Plurinational State of","Bolivia, Plurinational State of",D
9,beginner,beginner09,bosnia_and_herzegovina,Bosnia and Herzegovina,beginner/begin09_bosnia_and_herzegovina.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin09_bosnia_and_herzegovina.svg,Which country does this flag belong to?,Latvia,Kyrgyzstan,Uganda,Bosnia and Herzegovina,Bosnia and Herzegovina,D
10,beginner,beginner10,brazil,Brazil,beginner/begin10_brazil.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin10_brazil.svg,Which country does this flag belong to?,Denmark,Somalia,Caribbean Netherlands,Brazil,Brazil,D
11,beginner,beginner11,cameroon,Cameroon,beginner/begin11_cameroon.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin11_cameroon.svg,Which country does this flag belong to?,Cameroon,Suriname,Mongolia,Belize,Cameroon,A
12,beginner,beginner12,chile,Chile,beginner/begin12_chile.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin12_chile.svg,Which country does this flag belong to?,"Virgin Islands, British",Chile,Bahrain,Myanmar,Chile,B
13,beginner,beginner13,china,China,beginner/begin13_china.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin13_china.svg,Which country does this flag belong to?,China,Saint Martin,Greece,Uzbekistan,China,A
14,beginner,beginner14,colombia,Colombia,beginner/begin14_colombia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin14_colombia.svg,Which country does this flag belong to?,Guadeloupe,Colombia,Trinidad and Tobago,Guam,Colombia,B
15,beginner,beginner15,costa_rica,Costa Rica,beginner/begin15_costa_rica.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin15_costa_rica.svg,Which country does this flag belong to?,Saint Kitts and Nevis,Puerto Rico,Costa Rica,Antigua and Barbuda,Costa Rica,C
16,beginner,beginner16,croatia,Croatia,beginner/begin16_croatia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin16_croatia.svg,Which country does this flag belong to?,Cyprus,Barbados,Slovenia,Croatia,Croatia,D
17,beginner,beginner17,cuba,Cuba,beginner/begin17_cuba.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin17_cuba.svg,Which country does this flag belong to?,Botswana,Zimbabwe,Sweden,Cuba,Cuba,D
18,beginner,beginner18,cyprus,Cyprus,beginner/begin18_cyprus.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin18_cyprus.svg,Which country does this flag belong to?,Cambodia,Chile,Cyprus,Tokelau,Cyprus,C
19,beginner,beginner19,denmark,Denmark,beginner/begin19_denmark.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin19_denmark.svg,Which country does this flag belong to?,Guinea,Northern Ireland,Denmark,United Kingdom,Denmark,C
20,beginner,beginner20,ecuador,Ecuador,beginner/begin20_ecuador.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin20_ecuador.svg,Which country does this flag belong to?,Ecuador,Åland Islands,Jamaica,Mongolia,Ecuador,A
21,beginner,beginner21,egypt,Egypt,beginner/begin21_egypt.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin21_egypt.svg,Which country does this flag belong to?,Egypt,Gabon,Panama,Palau,Egypt,A
22,beginner,beginner22,estonia,Estonia,beginner/begin22_estonia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin22_estonia.svg,Which country does this flag belong to?,Estonia,Northern Mariana Islands,Malta,Malawi,Estonia,A
23,beginner,beginner23,ethiopia,Ethiopia,beginner/begin23_ethiopia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin23_ethiopia.svg,Which country does this flag belong to?,Ecuador,"Congo, the Democratic Republic of the",Ethiopia,Germany,Ethiopia,C
24,beginner,beginner24,fiji,Fiji,beginner/begin24_fiji.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin24_fiji.svg,Which country does this flag belong to?,Réunion,French Southern Territories,Fiji,Syrian Arab Republic,Fiji,C
25,beginner,beginner25,finland,Finland,beginner/begin25_finland.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin25_finland.svg,Which country does this flag belong to?,Liberia,Turks and Caicos Islands,South Sudan,Finland,Finland,D
26,beginner,beginner26,france,France,beginner/begin26_france.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin26_france.svg,Which country does this flag belong to?,French Guiana,Northern Mariana Islands,Comoros,France,France,D
27,beginner,beginner27,germany,Germany,beginner/begin27_germany.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin27_germany.svg,Which country does this flag belong to?,Uganda,Croatia,Germany,Pakistan,Germany,C
28,beginner,beginner28,ghana,Ghana,beginner/begin28_ghana.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin28_ghana.svg,Which country does this flag belong to?,Greenland,Kazakhstan,Ghana,Falkland Islands,Ghana,C
29,beginner,beginner29,greece,Greece,beginner/begin29_greece.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin29_greece.svg,Which country does this flag belong to?,Dominica,Cook Islands,Bosnia and Herzegovina,Greece,Greece,D
30,beginner,beginner30,guatemala,Guatemala,beginner/begin30_guatemala.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin30_guatemala.svg,Which country does this flag belong to?,Cameroon,"Venezuela, Bolivarian Republic of",Guatemala,Lebanon,Guatemala,C
31,beginner,beginner31,honduras,Honduras,beginner/begin31_honduras.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin31_honduras.svg,Which country does this flag belong to?,Libya,Hong Kong,Honduras,Guernsey,Honduras,C
32,beginner,beginner32,hungary,Hungary,beginner/begin32_hungary.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin32_hungary.svg,Which country does this flag belong to?,Mozambique,Hungary,Qatar,Bosnia and Herzegovina,Hungary,B
33,beginner,beginner33,iceland,Iceland,beginner/begin33_iceland.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin33_iceland.svg,Which country does this flag belong to?,Martinique,Isle of Man,Sudan,Iceland,Iceland,D
34,beginner,beginner34,india,India,beginner/begin34_india.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin34_india.svg,Which country does this flag belong to?,"Bolivia, Plurinational State of",Lesotho,Panama,India,India,D
35,beginner,beginner35,indonesia,Indonesia,beginner/begin35_indonesia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin35_indonesia.svg,Which country does this flag belong to?,Angola,Indonesia,Saudi Arabia,Puerto Rico,Indonesia,B
36,beginner,beginner36,iran_islamic,"Iran, Islamic Republic of",beginner/begin36_iran_islamic.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin36_iran_islamic.svg,Which country does this flag belong to?,Ethiopia,Gambia,"Iran, Islamic Republic of",Sint Maarten,"Iran, Islamic Republic of",C
37,beginner,beginner37,ireland,Ireland,beginner/begin37_ireland.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin37_ireland.svg,Which country does this flag belong to?,Turkmenistan,Samoa,Cameroon,Ireland,Ireland,D
38,beginner,beginner38,israel,Israel,beginner/begin38_israel.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin38_israel.svg,Which country does this flag belong to?,Cocos Islands,Portugal,Korea Democratic Peoples,Israel,Israel,D
39,beginner,beginner39,italy,Italy,beginner/begin39_italy.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin39_italy.svg,Which country does this flag belong to?,Sweden,Macao,Rwanda,Italy,Italy,D
40,beginner,beginner40,jamaica,Jamaica,beginner/begin40_jamaica.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin40_jamaica.svg,Which country does this flag belong to?,Caribbean Netherlands,Angola,Zimbabwe,Jamaica,Jamaica,D
41,beginner,beginner41,japan,Japan,beginner/begin41_japan.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin41_japan.svg,Which country does this flag belong to?,Faroe Islands,Haiti,Solomon Islands,Japan,Japan,D
42,beginner,beginner42,kenya,Kenya,beginner/begin42_kenya.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin42_kenya.svg,Which country does this flag belong to?,Kenya,Northern Mariana Islands,Croatia,Gibraltar,Kenya,A
43,beginner,beginner43,latvia,Latvia,beginner/begin43_latvia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin43_latvia.svg,Which country does this flag belong to?,Russian Federation,Czech Republic,Latvia,Cambodia,Latvia,C
44,beginner,beginner44,lebanon,Lebanon,beginner/begin44_lebanon.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin44_lebanon.svg,Which country does this flag belong to?,Benin,Lebanon,Mayotte,Tuvalu,Lebanon,B
45,beginner,beginner45,libya,Libya,beginner/begin45_libya.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin45_libya.svg,Which country does this flag belong to?,Cook Islands,French Southern Territories,Libya,Slovenia,Libya,C
46,beginner,beginner46,lithuania,Lithuania,beginner/begin46_lithuania.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin46_lithuania.svg,Which country does this flag belong to?,Lithuania,Kyrgyzstan,French Southern Territories,England,Lithuania,A
47,beginner,beginner47,luxembourg,Luxembourg,beginner/begin47_luxembourg.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin47_luxembourg.svg,Which country does this flag belong to?,Morocco,Martinique,Luxembourg,Macao,Luxembourg,C
48,beginner,beginner48,malaysia,Malaysia,beginner/begin48_malaysia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin48_malaysia.svg,Which country does this flag belong to?,Malaysia,Oman,Iceland,Spain,Malaysia,A
49,beginner,beginner49,malta,Malta,beginner/begin49_malta.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin49_malta.svg,Which country does this flag belong to?,Malta,Saudi Arabia,Kiribati,Niue,Malta,A
50,beginner,beginner50,mexico,Mexico,beginner/begin50_mexico.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin50_mexico.svg,Which country does this flag belong to?,French Polynesia,Mexico,Rwanda,Taiwan (Republic of China),Mexico,B
51,beginner,beginner51,monaco,Monaco,beginner/begin51_monaco.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin51_monaco.svg,Which country does this flag belong to?,Monaco,Korea Democratic Peoples,Mozambique,Greenland,Monaco,A
52,beginner,beginner52,morocco,Morocco,beginner/begin52_morocco.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin52_morocco.svg,Which country does this flag belong to?,Niger,Morocco,Mayotte,Singapore,Morocco,B
53,beginner,beginner53,nepal,Nepal,beginner/begin53_nepal.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin53_nepal.svg,Which country does this flag belong to?,French Southern Territories,Nepal,American Samoa,Bosnia and Herzegovina,Nepal,B
54,beginner,beginner54,netherlands,Netherlands,beginner/begin54_netherlands.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin54_netherlands.svg,Which country does this flag belong to?,Zimbabwe,Austria,Papua New Guinea,Netherlands,Netherlands,D
55,beginner,beginner55,new_zealand,New Zealand,beginner/begin55_new_zealand.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin55_new_zealand.svg,Which country does this flag belong to?,Oman,New Zealand,Syrian Arab Republic,Russian Federation,New Zealand,B
56,beginner,beginner56,nigeria,Nigeria,beginner/begin56_nigeria.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin56_nigeria.svg,Which country does this flag belong to?,Nigeria,Sint Maarten,Slovenia,England,Nigeria,A
57,beginner,beginner57,norway,Norway,beginner/begin57_norway.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin57_norway.svg,Which country does this flag belong to?,Tonga,Poland,Norway,Indonesia,Norway,C
58,beginner,beginner58,pakistan,Pakistan,beginner/begin58_pakistan.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin58_pakistan.svg,Which country does this flag belong to?,Trinidad and Tobago,France,Saint Kitts and Nevis,Pakistan,Pakistan,D
59,beginner,beginner59,panama,Panama,beginner/begin59_panama.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin59_panama.svg,Which country does this flag belong to?,Montserrat,Grenada,Panama,United Arab Emirates,Panama,C
60,beginner,beginner60,papua_new_guinea,Papua New Guinea,beginner/begin60_papua_new_guinea.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin60_papua_new_guinea.svg,Which country does this flag belong to?,Holy See,Papua New Guinea,Anguilla,Spain,Papua New Guinea,B
61,beginner,beginner61,paraguay,Paraguay,beginner/begin61_paraguay.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin61_paraguay.svg,Which country does this flag belong to?,Kingdom of Eswatini,Nigeria,Montserrat,Paraguay,Paraguay,D
62,beginner,beginner62,peru,Peru,beginner/begin62_peru.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin62_peru.svg,Which country does this flag belong to?,Sint Maarten,Yemen,Peru,Australia,Peru,C
63,beginner,beginner63,philippines,Philippines,beginner/begin63_philippines.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin63_philippines.svg,Which country does this flag belong to?,"Virgin Islands, British",Philippines,England,India,Philippines,B
64,beginner,beginner64,poland,Poland,beginner/begin64_poland.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin64_poland.svg,Which country does this flag belong to?,Cook Islands,Poland,Latvia,Pitcairn,Poland,B
65,beginner,beginner65,portugal,Portugal,beginner/begin65_portugal.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin65_portugal.svg,Which country does this flag belong to?,Armenia,Tunisia,Guyana,Portugal,Portugal,D
66,beginner,beginner66,romania,Romania,beginner/begin66_romania.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin66_romania.svg,Which country does this flag belong to?,Saudi Arabia,Kenya,British Indian Ocean Territory,Romania,Romania,D
67,beginner,beginner67,saudi_arabia,Saudi Arabia,beginner/begin67_saudi_arabia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin67_saudi_arabia.svg,Which country does this flag belong to?,"Bolivia, Plurinational State of",Saudi Arabia,Mauritania,Indonesia,Saudi Arabia,B
68,beginner,beginner68,serbia,Serbia,beginner/begin68_serbia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin68_serbia.svg,Which country does this flag belong to?,Dominica,Germany,Serbia,Nicaragua,Serbia,C
69,beginner,beginner69,singapore,Singapore,beginner/begin69_singapore.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin69_singapore.svg,Which country does this flag belong to?,Singapore,Kenya,Kiribati,Zimbabwe,Singapore,A
70,beginner,beginner70,slovakia,Slovakia,beginner/begin70_slovakia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin70_slovakia.svg,Which country does this flag belong to?,Trinidad and Tobago,Benin,Slovakia,Faroe Islands,Slovakia,C
71,beginner,beginner71,slovenia,Slovenia,beginner/begin71_slovenia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin71_slovenia.svg,Which country does this flag belong to?,Spain,Saint Barthélemy,Malta,Slovenia,Slovenia,D
72,beginner,beginner72,south_africa,South Africa,beginner/begin72_south_africa.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin72_south_africa.svg,Which country does this flag belong to?,Sweden,South Africa,Spain,Togo,South Africa,B
73,beginner,beginner73,spain,Spain,beginner/begin73_spain.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin73_spain.svg,Which country does this flag belong to?,Ecuador,Mauritius,Spain,Côte d'Ivoire,Spain,C
74,beginner,beginner74,sri_lanka,Sri Lanka,beginner/begin74_sri_lanka.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin74_sri_lanka.svg,Which country does this flag belong to?,Pitcairn,Georgia,French Polynesia,Sri Lanka,Sri Lanka,D
75,beginner,beginner75,sweden,Sweden,beginner/begin75_sweden.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin75_sweden.svg,Which country does this flag belong to?,Sweden,United States,Hong Kong,Tonga,Sweden,A
76,beginner,beginner76,switzerland,Switzerland,beginner/begin76_switzerland.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin76_switzerland.svg,Which country does this flag belong to?,Switzerland,Tunisia,Cameroon,Mongolia,Switzerland,A
77,beginner,beginner77,thailand,Thailand,beginner/begin77_thailand.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin77_thailand.svg,Which country does this flag belong to?,Costa Rica,Thailand,Latvia,Isle of Man,Thailand,B
78,beginner,beginner78,tunisia,Tunisia,beginner/begin78_tunisia.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin78_tunisia.svg,Which country does this flag belong to?,Cape Verde,Cayman Islands,Martinique,Tunisia,Tunisia,D
79,beginner,beginner79,ukraine,Ukraine,beginner/begin79_ukraine.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin79_ukraine.svg,Which country does this flag belong to?,Western Sahara,Ukraine,Argentina,British Indian Ocean Territory,Ukraine,B
80,beginner,beginner80,united_kingdom,United Kingdom,beginner/begin80_united_kingdom.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin80_united_kingdom.svg,Which country does this flag belong to?,Barbados,Mayotte,United Kingdom,Taiwan (Republic of China),United Kingdom,C
81,beginner,beginner81,united_states,United States,beginner/begin81_united_states.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin81_united_states.svg,Which country does this flag belong to?,Saint Pierre and Miquelon,United States,Monaco,Heard Island and McDonald Islands,United States,B
82,beginner,beginner82,uruguay,Uruguay,beginner/begin82_uruguay.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin82_uruguay.svg,Which country does this flag belong to?,"Saint Helena, Ascension and Tristan da Cunha",Libya,Hungary,Uruguay,Uruguay,D
83,beginner,beginner83,venezuela_bolivarian,"Venezuela, Bolivarian Republic of",beginner/begin83_venezuela_bolivarian.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin83_venezuela_bolivarian.svg,Which country does this flag belong to?,Vanuatu,Taiwan (Republic of China),Western Sahara,"Venezuela, Bolivarian Republic of","Venezuela, Bolivarian Republic of",D
84,beginner,beginner84,vietnam,Vietnam,beginner/begin84_vietnam.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin84_vietnam.svg,Which country does this flag belong to?,South Georgia and the South Sandwich Islands,Vietnam,Greenland,Antigua and Barbuda,Vietnam,B
85,beginner,beginner85,zimbabwe,Zimbabwe,beginner/begin85_zimbabwe.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/beginner/begin85_zimbabwe.svg,Which country does this flag belong to?,Angola,Pakistan,Zimbabwe,Malta,Zimbabwe,C
86,intermediate,intermediate01,afghanistan,Afghanistan,intermediate/inter01_afghanistan.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/intermediate/inter01_afghanistan.svg,Which country does this flag belong to?,Afghanistan,Slovakia,Switzerland,New Caledonia,Afghanistan,A
87,intermediate,intermediate02,american_samoa,American Samoa,intermediate/inter02_american_samoa.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/intermediate/inter02_american_samoa.svg,Which country does this flag belong to?,Saint Lucia,American Samoa,Saint Barthélemy,Western Sahara,American Samoa,B
88,intermediate,intermediate03,angola,Angola,intermediate/inter03_angola.svg,https://USERNAME.github.io/REPOSITORY/canva_upload_ready/flag_images/svg/intermediate/inter03_angola.svg,Which country does this flag belong to?,Thailand,Turks and Caicos Islands,Samoa,Angola,Angola,D
